index,name,location,location1,location2,date,content,result,site
98062,Kim Kelly,Belfast,Northern,Ireland,2020-10-23,But surely you don¡¯t die ¡®from¡¯ dementia exactly but rather you have dementia and in your weakened state you die from a disease of infection like pneumonia etc. These stats don¡¯t give us a clear picture of what people are dying from. https://t.co/gLqU2rbhmo,1,Belfast
98246,David Gavaghan ????#StandWithUkraine ????,Belfast,Northern,Ireland,2020-10-23,Cartoon from @Spectator¡¯s daily Covid-19 update. Sign up for free: https://t.co/YqgKw2IqQH https://t.co/gw90pJqjgZ,2,Belfast
98156,"Juan Pablo Rodriguez, Association President",St,Andrews,Fife,2020-10-23,A little bit of silliness is sometimes very much needed! ?? https://t.co/5uBSWwEGnX,3,Fife
98337,§ñ?¦Á?¦É?§ä ?¦Á¦Í?§ä¦Á§ß ????,Greater,Manchester,England,2020-10-23,#Trump is doing well I see. #Election2020 https://t.co/cL9Ye3aDnZ,3,Manchester
98158,Michael Bellamy,Baston,Lincolnshire,England,2020-10-23,Never ever tell me that there isn't any money. There's loads of money. https://t.co/kpd4ngGGfW,0,Lincolnshire
98146,Priti Joshi,Oadby,Leicester,England,2020-10-23,We need to listen and stick to rules . https://t.co/EaKOkJOBmH,2,Leicester
98059,Chris Scruton,Manchester,where,else?,2020-10-23,Covid19 deaths replacing flu. The numbers are fudged to spread fear. https://t.co/bpy9dd8a0h,2,Manchester
98063,Chris Scruton,Manchester,where,else?,2020-10-23,Are Tories number 1? https://t.co/bY6NbVBHMg,2,Manchester
98002,David Thompson,Northumberland,and,Edinburgh,2020-10-23,"Help slow the spread of #COVID19 and identify at risk cases sooner by self-reporting your symptoms daily, even if you feel well ??. Download the app https://t.co/vARUSOdrUF",2,Northumberland
98247,Andrew Grainger,London,and,Devon,2020-10-23,Petition: Hold a public inquiry into Government contracts granted during Covid-19 https://t.co/5bEyPxWGRq,0,Devon
98213,?????? ?????????????????????????? ??????????????,Stirling,universal,centre,2020-10-23,Petition: Hold a public inquiry into Government contracts granted during Covid-19 https://t.co/GkvOypDFBU,0,Stirling
98174,She Runs: Cardiff,Cardiff,Wales,,2020-10-23,Welfare post: please be aware of the changes that start at 1800hrs tonight and how they affect our running. Guidance from Welsh Government here:https://t.co/ypK7JF0P32Medal link here:https://t.co/rwcyz3KStc https://t.co/D80KkvuZor,1,Cardiff
98281,SteveWest Says: Director PROPEL Www.propel.wales,Cardiff,Wales,,2020-10-23,THIS MUST CHANGE https://t.co/D37LDOv4qy,2,Cardiff
97944,Rachel Hanson,Caerphilly,Wales,,2020-10-23,"So glad we spent so much money on the TAT, world-beating ?? https://t.co/F89qEFkk2Q",3,Caerphilly
98105,Walsall Environmental Health,Walsall,UK,,2020-10-23,We are getting daily reports of a lack of mask wearing in #business premises around #walsall. PLEASE continue to follow #Covid19UK rules and help stop the spread of the disease and get us all out of this safely! https://t.co/Jgrknvoy1b,1,Walsall
98081,City of Southend-On-Sea,Southend-on-Sea,UK,,2020-10-23,At least four staff at Canvey Morrisons test positive for coronavirus https://t.co/TW4wq9VJoV,0,Southend-on-Sea
97923,Salford City Council,Salford,UK,,2020-10-23,"The new very high level of restrictions are now live. Please show the #SpiritOfSalford &amp; share. It is vital to stop the spread to wash your hands frequently, wear a face covering &amp; keep your distance. If you are unwell stay at home &amp; get tested if you have #COVID19 symptoms https://t.co/DsZIPhidyL",1,Salford
97937,Simon Hepburn,Manchester,UK,,2020-10-23,This is no surprise. https://t.co/s9FbMIHLxw,1,Manchester
97941,Simon Hepburn,Manchester,UK,,2020-10-23,@Equity_Educate @ChildrensComm But also...https://t.co/Dx9hV14fDu,2,Manchester
97954,jp ??????????,Manchester,uk,,2020-10-23,Hey @GeraldoRivera how about you suggest this to you¡¯re good mate the orange king...just a thought https://t.co/6MmYPmf9Dx,0,Manchester
98013,Simon Dewhurst,Leeds,UK,,2020-10-23,Clever those starlings!  ?????? https://t.co/YKGlgV4TGu,4,Leeds
98003,Laura Jane Butler | Amy Winehouse Tribute,Essex,Uk,,2020-10-23,I love you London #noplacelikehome #london #londonspirit We are a strong nation and this is our capital steeped in history it has survived so much &amp; will survive &amp; live to tell  the tale ... this will one day be our history ... work together to win the war #coronavirus I?? you ?? https://t.co/ZCtIkhmise,4,Essex
98256,Mike Ross,Coventry,UK,,2020-10-23,What % hospitalised? How many died? What¡¯s the comparative ratio to flu this time of year? How many doctors surgeries overwhelmed? Etc. etc. Jackanory springs to mind for the older tweeters. https://t.co/t7m7p6iCy2,2,Coventry
98106,C. Farquharson MBE,Birmingham,UK,,2020-10-23,Yes great conversation thanks. https://t.co/xsJpbZd0Ul,3,Birmingham
98303,Safaraz Ali (Saf),Birmingham,UK,,2020-10-23,"Why Coronavirus Will Win Trump The Election, voiced by @stephenfry https://t.co/RafDemF7FZ",4,Birmingham
98268,Northern Monkey ??????,Ecclesall,Sheffield,,2020-10-23,"@SheffCityRegion That's not very clear...What is ""mixing""? Is a 2m slave all around me ok?What is ""COVID-secure""?Can we classify the clarification please? #CovidUK #COVID19 #tier3lockdown #Sheffield #SouthYorkshire",1,Sheffield
97969,Claire Munro,Stirling,Scotland,,2020-10-23,Coronavirus grant awarded to aid Scottish waste management firms https://t.co/iT81EGWl6t,0,Stirling
98129,Martin Waite,Wolverhampton,Penn,,2020-10-23,Government funding does not cover all the the additional costs of COVID-19 and here we are with @LabourWolves having to pick up the slack again. At least one political party in Wolverhampton knows how to do the right thing. https://t.co/N77Ydfmo4a,1,Wolverhampton
98322,Sue Cook,N.,Oxfordshire,,2020-10-23,Surprise: national opinion polls can get it wrong ????. Focus group reveals voters are fed up of Covid-19 lockdown measures https://t.co/SLffJs7Aix via @MailOnline,0,Oxfordshire
98103,Lisa Kohl,Cleveleys,Lancashire,,2020-10-23,You don¡¯t say!! ?? https://t.co/aHuBQo4AKH,1,Lancashire
98201,East Lancashire Chamber of Commerce,Accrington,Lancashire,,2020-10-23,Member News - Panaz Fabrics &amp; Wallcoverings proudly launch anti-microbial cleaning spray to protect surfaces against coronavirus for up to 90 days.Read the full story in Lancashire Business View at https://t.co/9BGgQSO4vb#lancashire #covid19UK #chambersofcommerce https://t.co/JnoRXUX9Kb,0,Lancashire
98095,Roger Nield,Fleet,Hampshire,,2020-10-23,Let¡¯s hope that this is just a ¡°blip¡± https://t.co/U2ZapGrQVm,2,Hampshire
98132,John Millington,Mold,Flintshire,,2020-10-23,"@ghost_wales Totally...we will have to queue for a food coupons for Christmas. I had 2 power cuts in 2 days last week in Mold. If that happens again i will need to buy candles, but under Comrade Drakeford that wont be allowed as i am not sticking to his rules. #covid19 #COVIDIDIOTS #Fascists",3,Flintshire
98291,John Millington,Mold,Flintshire,,2020-10-23,@fmwales @WelshGovernment Genuine question...if you have a family member in prison for a serious crime...are you able to visit them in prison?? #AskingForAFriend  #circuitbreaker #wales #covid19,2,Flintshire
98159,Matt,York,England,,2020-10-23,"@capehaze5 @UKCovid19Stats These are deaths after a positive covid19 test, nothing to do with what¡¯s stated on the death certificate.",1,York
97976,Steven Harrison,Wakefield,England,,2020-10-23,"That¡¯s me done then.  Killing the sport and any fresh air fun outside on a racecourse with hardly anyone about.  Saturday my last Raceday as an ¡°owner¡± until this stupidity winds back, 3weeks, 3months, 3years...? nothing left by then.  Over. https://t.co/wQLAZS1Bgk",1,Wakefield
98354,Chris Murrell,Wakefield,England,,2020-10-23,Which senior care consultant ?? https://t.co/PPB1LmV2gF,1,Wakefield
98264,Jo Penhaligon,Torbay,England,,2020-10-23,"This half term is going to be slightly different, as most things already have been this year. We love our Bay &amp; we also want everyone to stay as safe as possible. If you visit THINK COVID &amp; #StaySafe https://t.co/08k7FbUDq3",0,Torbay
98185,Jake Collinson,Sunderland,England,,2020-10-23,Those numbers are just going to continue to rise aren't they? ?? https://t.co/aXwcfTQgFn,2,Sunderland
97986,Rachel Wise,Stockport,England,,2020-10-23,We need to provide testing for care home inspectors as a matter of urgency. https://t.co/HCbQEbnBFm,1,Stockport
98165,martyn notman,Sheffield,England,,2020-10-23,The brandy fumes from my house are enough to cure coronavirus in the area.. *coughs* https://t.co/WjaNKdg9oe,2,Sheffield
98351,Michael Constantine,Sheffield,England,,2020-10-23,Nothing like a timed to perfection tweet ?? https://t.co/JtpP58AuCW,1,Sheffield
97979,Steven,Salford,England,,2020-10-23,"In my experience, Restaurants have gone above and beyond the required rules and are far safer environments  than other areas of society.These social places are an easy target for a lazy government. https://t.co/KVrbWqFTqW",4,Salford
98336,???????? ????????????,Salford,England,,2020-10-23,"Or you can buy one of my hand crafted adjustable, comfortable, eco friendly and super fashionable, VAT free masks. Contact me direct for a discount or find me in https://t.co/AZBj24Kxsu ?????? https://t.co/2shOfOazbE",1,Salford
98254,Peter West,Reading,England,,2020-10-23,FFS. Have I suddenly become geriatric then? https://t.co/rnhdq1lNst,2,Reading
98109,Daniel Son,Portsmouth,England,,2020-10-23,"Yes, shut the country down. Jeez. https://t.co/80X6OWHNN3",2,Portsmouth
98142,Nalucha___,Nottingham,England,,2020-10-23,"This money won¡¯t even be used for COVID-19 relief, it will be stolen for personal interest and for useless campaigns next year...this shit has to stop!?? https://t.co/Lz0fCBIdI5",0,Nottingham
97926,The Yard,Manchester,England,,2020-10-23,Unbelievable!Sadiq Khan had argued that as London has moved into Tier 2 the 10pm curfew should be lifted as households can¡¯t mix inside anyway and restaurants should be allowed to trade later as it allows businesses to trade for longer.Welcome to our shit! #COVID19,2,Manchester
97946,jaimie ???????????????,Manchester,England,,2020-10-23,"Getting these notifications everyday now, seriously what is the point of this app if all it does is send out random notifications?! ?? #trackandtraceappfailure #COVID19 #overitnow https://t.co/pXbESdzRhz",0,Manchester
97967,The Yard,Manchester,England,,2020-10-23,@Sacha_Lord And @SadiqKhan has suggested that 10pm curfew is not necessary for restaurants!Hasn¡¯t this been yours and @AndyBurnhamGM argument for a while?! #COVID19 #BorisHasFailedTheUK,1,Manchester
98019,Little Voices - Swamp Children,Manchester,England,,2020-10-23,"know that feeling when you check your bank balance and wonder where has it all gone,You ve been a bit generous,giving mates money for their new projects,like test and trace,PPENot left much in the kitty https://t.co/NnQR0Ci6ig",0,Manchester
98294,MD Professional Event Services Ltd,Manchester,England,,2020-10-23,"Lots to do tomorrow - @AlpineVillageTC need their documents finalising for @intuTrafford! CoVID-19 secure Pick 'n' Mix, anyone?",2,Manchester
98329,Frankie Prazer 3 time award winner in music events,Luton,England,,2020-10-23,Please heed the warning #Luton. Going in to tier 2 is not joke. https://t.co/hbgrWuqdNX,1,Luton
98266,Abdul Basit Qadir,Liverpool,England,,2020-10-23,Munaser Saleh is one of many farmers that the country depends on. They are the true heroes that go unnoticed in this conflict. https://t.co/AM4ewZyGGE,2,Liverpool
98153,Guy,Dudley,England,,2020-10-23,"Does anyone know what happens when you transfer the NHS Covid-19 app to a new iPhone? Looks like everything had transferred okay, but will it still share existing keys via Bluetooth? How can I check they have transferred?",1,Dudley
98064,Stephen Garvey,Coventry,England,,2020-10-23,Watched this on the TV show last night. I liked the comment about donating If you are financially secure and don¡¯t need this. I will be claiming and then I¡¯ll be donating to a charity to support food poverty in children. Can anyone help identify a charity?  #ENDCHILDFOODPOVERTY https://t.co/8XElmzpGL9,1,Coventry
98223,Dr. Baby,Bedford,England,,2020-10-23,"Haba! This isn¡¯t fair nau ??. You just can¡¯t keep killing people nau, they have families fgs ?? https://t.co/FF2CpGTJHZ",0,Bedford
98018,Peter Millward,Barnsley,England,,2020-10-23,Don¡¯t agree with your politics or most of what you tweet but I do hope that you get well soon and have no long term complications. https://t.co/67xUt0GsiR,3,Barnsley
98089,Rita Smith,Padfield,Derbyshire,,2020-10-23,So true! ?????? https://t.co/p0KxBffjnb,3,Derbyshire
98039,Judith Derbyshire ??,Penrith,Cumbria,,2020-10-23,"Well worth a read! ¡°Until a functioning system is put in place by the people whose main aim is to suppress the virus, not turn a profit, life isn¡¯t going back to normal for any of us.¡± https://t.co/ZET40QGfDP",0,Cumbria
98042,Andy B CP1905 ????????????????????????????????,Tintagel,Cornwall,,2020-10-23,BBC News - Covid: Why is coronavirus so deadly?https://t.co/F70Kc6Bn5x,2,Cornwall
98359,Alec,Stockport,(obviously),,2020-10-23,Herd immunity now ?????? https://t.co/LiznFngnMY,3,Stockport
97999,Colin Clayton,Wirral,,,2020-10-23,"Got to live with this, manage it and strive to get back the old days.. https://t.co/fipkgsQa1e",3,Wirral
98307,Atelier PX ?? ????,Wiltshire,,,2020-10-23,Scum.... https://t.co/gEVfbvRTEk,0,Wiltshire
98318,Gary Skentelbery,Warrington,,,2020-10-23,Maybe the conspiracy theory brigade should volunteer to ¡°work¡± on the frontline and see the facts first hand as our outstanding #nhs staff literally put their lives on the line to help save others! Proud of my home town hospital @WHHNHS @WHHFTChair https://t.co/b9aj1RYWP1,3,Warrington
98339,General Kaos ??,Swindon,,,2020-10-23,Let¡¯s thank our lucky stars that we are living through Coronavirus and are not a Jewish family in 1941 Europe #perspective,3,Swindon
98139,Miss Stanbra,Sheffield,,,2020-10-23,As a teacher I am seeing the devastating effect that Covid-19 is having on our children. #FreeSchoolMeals is a lifeline to many and now the extension has been voted against there are fears that some families may be unable feed their children. I am truly saddened by this.,2,Sheffield
98172,Jonny C,Salford,,,2020-10-23,I like this. Simple and clear. https://t.co/j8lZqDBRuT,1,Salford
98000,Carla #protectthenhs,Portsmouth,,,2020-10-23,Brilliant! Who ever did this ???????? #wearamask #covidisreal #itsaboutrespect #BeautyAndTheBeast #disneydoneright #covid19 #trustthescience https://t.co/5asofjTlNR,4,Portsmouth
98255,Dr Pelumi O Apantaku,Portsmouth,,,2020-10-23,They are hoodloms. https://t.co/EAFyIExnXS,2,Portsmouth
98115,Nigel Harris,Peterborough,,,2020-10-23,Superb piece here from @BBCTomEdwards on Covid safety on public transport. https://t.co/Su1vTT0s1t,3,Peterborough
98207,Ian Stimson,Peterborough,,,2020-10-23,"Finally, FINALLY got the keys today and done a bit of the old completion... Bloody coronavirus/lazy builders not wanting to die in a pandemic... https://t.co/SR5fhmzF4G",1,Peterborough
98010,June,Norfolk,,,2020-10-23,"all you hear is blame Boris or the government, they do not goven the rest of Europe...Stop the blame &amp; take responsibility &amp; do what¡¯s asked. Number of daily coronavirus cases in Europe doubles to 200,000 in ten days, with many countries . https://t.co/gEdWnqZS6s via @MailOnline",0,Norfolk
97975,Peter Devine,Manchester,,,2020-10-23,If I am being honest Marcus Rashford is doing a better job of showing up this compltely heartless Tory Party than either #Labour or #LibDem's have done so far - maybe Starmer and Davey ought to put a shift in!#BorisHasFailedTheNation #VoteThemAllOut #coronavirusuk #coronavirus https://t.co/OQA2ym607h,3,Manchester
97995,Peter Devine,Manchester,,,2020-10-23,"Remember that ""world leading"" track and trace Bojo blew his trumpet about, well it still aint working!Even this lot have the sense to kick her upstairs, or maybe not!#TrackAndTrace #DidoHarding #coronavirus #coronavirusuk #Covid19UK https://t.co/756DMTXEGP",3,Manchester
98007,Peter Devine,Manchester,,,2020-10-23,This has to be a Catherine Tate pisstake! https://t.co/O2Wa9kwZOm,3,Manchester
98122,Nicholas Hornby,Manchester,,,2020-10-23,"@tomhfh @MarcusRashford Would be nice if the chilling hand of the state would not force the worst possible Brexit or an inept response to the coronavirus on to people's lives.I'd happily take that chilling hand in to my live were it offering something beneficial, such as, you know, feeding kids ???¡á?",1,Manchester
98126,John,Manchester,,,2020-10-23,Any pub owners need a food offering talk to these guys https://t.co/BdVoBpxrIj,1,Manchester
98130,David Bell,Manchester,,,2020-10-23,"How is it safe to go and watch a football match indoors at a cinema, but not safe to watch it outdoors in a stadium? Wasn¡¯t the advice the virus spreads quicker indoors. ?????¡á?Absolute joke! ?? #COVID19 https://t.co/dAdeqSxeiv",3,Manchester
98219,Neil Wilkinson,Manchester,,,2020-10-23,@BrianDrought Saw this just now and thought of your tweet: https://t.co/gMl8sorYPM,2,Manchester
98288,Keith,Manchester,,,2020-10-23,"Coronavirus: UK records another 20,530 cases and 224 deaths | UK News | Sky News https://t.co/KKbLV4M5li",2,Manchester
98295,Ian,Manchester,,,2020-10-23,@Tomfurness2 @ianrobo1 @Billy1Gruff @kingofthecentre @david_clarke91 @br1mcg Without #Brexit as an issue at #GE2024 Many of the Red Wall Tories will have much to offer their constiuents &amp; especially on ths back of deep unemployment #coronavirus #Covid19,2,Manchester
98275,Leo Werin,Luton,,,2020-10-23,"Whilst I don¡¯t disagree that clubs like us and Weymouth have been better off compared to Notts County under this deal, using our averages from last season is liking comparing apples to oranges. Both our averages would have been 1,500+ this season. https://t.co/sGvsvgTIdm",0,Luton
98179,?????????? ¡þ¡þ in Leicestershire,Leicester,,,2020-10-23,Stuck in self isolation... #COVID19ImagineSecurityOpportunityLearningAdvantageTransformingIntimateObservantNew https://t.co/bU0BnC1exi,1,Leicester
98274,Phil Clarke,Kent,,,2020-10-23,#millwall good luck Gary. Sure you¡¯ll be back in the dug out very soon https://t.co/fWa5cdoRkT,3,Kent
98134,Jemima L,Gloucestershire,,,2020-10-23,Love @TweedyClown! ??Great message reminding us all we're all #inthistogether #StaySafe@Everymanchelt @GlosHealthNHS https://t.co/gxASMdVYZt,3,Gloucestershire
98128,Age UK Gateshead,Gateshead,,,2020-10-23,"Finally some fantastic news during this awful time!Christine, our incredible volunteer who gave up her time to cook our delicious hot meals on a weekend during lockdown is a finalist for the Heinz Food Heroes Most Heroic Individuals award!!! #heinzfoodheroes #COVID19 #lockdownUK https://t.co/nfKrZfpUi8",3,Gateshead
98278,Neil McEvoy ?????,Cardiff,,,2020-10-23,"@fmwales A person was not allowed to buy a card after 6pm in Tescos in Canton tonight. How does this stop Covid19? I'd like to ask you this in the Welsh Parliament, but you are protected by @Plaid_Cymru Presiding Officer.",2,Cardiff
97966,Nick Robinson,Bolton,,,2020-10-23,@richardosman Sorry for the inconvenience@richardosman but due to COVID-19 here at Ann Summers we are working with a restricted customer service team. We hope you understand and we do hope you enjoy your purchase. Please ensure you are in as it¡¯s far too big to go through your letterbox ??,0,Bolton
98170,Mike Gleeson,Bolton,,,2020-10-23,@bvgfgfdw42 @__OhEm__ @Conservatives Apparently heritage railways are more important than starving children whose parents do absolutely everything in their power to feed their kids. https://t.co/s617P5mnin,1,Bolton
98334,Kathryn Stanczyszyn,Birmingham,,,2020-10-23,@mowliano @BhamCityCouncil @BrumLeader @bbcwm @bbcmtd Confirmed by leader in the weekly West Midlands coronavirus media briefing,2,Birmingham
97952,Nic McHugh,Belfast,,,2020-10-23,Nadine Dorries tells the House her Covid antibodies had disappeared 12 weeks after she got the virus. Herd immunity won¡¯t work. #WearADamnMask https://t.co/NY8uGTMAqp,0,Belfast
98014,Sean McMahon,Belfast,,,2020-10-23,Madness https://t.co/eIhcrske7E,3,Belfast
98235,Dr Christina Sevdali,Belfast,,,2020-10-23,Cuts both ways ?? we always have half our hearts somewhere else... https://t.co/A5bLgwKyep,1,Belfast
98259,nigelhart,Belfast,,,2020-10-23,"This is an opportunity, now grasped, that must hold on to in many domains of medical education as we emerge from Covid. https://t.co/l61KD515BZ",2,Belfast
98301,James McCarthy,Belfast,,,2020-10-23,"As the Irish Govt remove the Virapro brand of hand sanitiser from the market due to health concerns, it is still available for purchase across the UK. It will be interesting to see if @OfficeforSandS follow suit.  https://t.co/Ssi5FSNtUY",2,Belfast
98615,Andy Kershaw Media ??,Sheffield,South,Yorkshire,2020-10-24,¡®With the R Rate at 1.5 we will see the rate of infections increasing by 5% a day¡¯Doncaster &amp; Bassetlaw Hospitals says there¡¯s been a doubling in number of COVID-19 patients since last Saturday.Today¡¯s Update. https://t.co/ZzzHav8VlC,1,Sheffield
98420,Keith,Belfast,NI,London,2020-10-24,Useful ¡®state of the art¡¯ of treating COVID-19 whilst trials continue https://t.co/LDg0pHiv8B,3,Belfast
98498,Louise,Made,in,Birmingham,2020-10-24,So excited to be seeing @rickygervais¡¯ first socially distanced gig next week.WHO SAYS CORONAVIRUS HAS TO BE DEPRESSING??? https://t.co/SYObDL3JLV,2,Birmingham
98469,Susan McLellan,London,-,Leeds,2020-10-24,UK Peeps - What tier restrictions are you currently living under? #COVID19,2,Leeds
98381,Simon,Kent,/,(London),2020-10-24,@fabulucy It's going to be years before we get to the other side .... 2020 will be the worst of the covid19 years .... and there is the chance there will be more pandemics,0,Kent
98391,Victoria Miles,Cardiff,Wales,UK,2020-10-24,We¡¯ve had a 519% increase in traffic visiting our website in the last 7 days.This suggests that people are looking for different ways to manage their fertility and health.Accessing NHS services and private (from a financial perspective) is now harder than ever.#COVID19,1,Cardiff
98447,David Reynolds,West,Suffolk,UK,2020-10-24,"@WeDoNotLearn73 Do they wear a Covid-19 star, chaps and ten gallon hats?If so, that'll be a no from here.",2,Suffolk
98624,Lana Banana Studios,Sevenoaks,Kent,UK,2020-10-24,"We are still open &amp; continuing to run fantastic, safe sessions here at Lana Banana Studios. Just remember to read our #COVID19 guidance before visiting the studio for your session. Head over to https://t.co/HoGUsAuXLY ?? #recordingstudio #recordingsession #inthestudio https://t.co/eRBaSc7Fql",3,Kent
98429,Eric Hawkins,Wimborne,Dorset,UK,2020-10-24,"What was the point of converting buildings to Nightingale hospitals across the UK, while none Covid needs are cancelled Can we all not get angry about this, than other stuff we go on about.Move Covid patients into Nightingale Hospitals and keep our hospitals free of Covid https://t.co/jrp0NPg42G",1,Dorset
98461,Joshua Heeley IV,Mudeford,Dorset,UK,2020-10-24,"Covid Question: If your 3 year old child has to self-isolate for 14 days because a child in his nursery bubble has Covid. What are the rules for the family, because obviously he won¡¯t be able to not mingle with the rest of us? #COVID19 #SelfIsolation",2,Dorset
98629,"Dave Hibbert, BA(Hons), ACTUS, Cert.Ed. Rejoin EU.",Chadderton,Greater,Manchester,2020-10-24,"Last month Theresa May was paid ?136,000 for a speech on global responses to the coronavirus pandemic. Her total this year for after-dinner talks is more than ?1 million.Not bad for being no good. (Hope she doesn't dance on).No wonder that Johnson wants to get out of being PM.",1,Manchester
98472,Cllr Ross McMullan,Belfast,Northern,Ireland,2020-10-24,"Great to see @StephenFarryMP taking the lead at Westminster to recognise 75 years of the #UnitedNations. International cooperation vital to successfully confronting poverty, inequality, injustice, #ClimateChange &amp; #Covid19. Strong UN leadership is key. #UnitedNationsDay #UN75 https://t.co/NLZvaD2KU3",1,Belfast
98576,§ñ?¦Á?¦É?§ä ?¦Á¦Í?§ä¦Á§ß ????,Greater,Manchester,England,2020-10-24,Brilliant! ???? #COVID19 #BorisOut #ToryScum https://t.co/IiMWs4OnJn,2,Manchester
98580,§ñ?¦Á?¦É?§ä ?¦Á¦Í?§ä¦Á§ß ????,Greater,Manchester,England,2020-10-24,Outside Gregg's in Piccadilly Gardens today?? #Manchester #COVID19 #ToryScum https://t.co/Nb6YcNF8TB,2,Manchester
98649,Fender Hoody - #vaccine #injuries are #real,Caerphilly,Not,Cardiff.,2020-10-24,Continuous #cough and #pinkeye maybe you had #COVID19 https://t.co/ueZq9XOgAT,1,Caerphilly
98632,cllr Dorothy Higginbottom,Great,Houghton,Barnsley,2020-10-24,Get well soon Melv hope it's not long before we all meet again ?? https://t.co/tlgcyJ1sBp,3,Barnsley
98675,Wrexham For Europe #FBPE #Rejoin,Wrexham,Wales,,2020-10-24,BREAKING NEWS: The elderly paid the price of protecting NHS from Covid. The Sunday Times reports on the brutal 'triage tool' that kept intensive care beds empty while the frail died at home. #BorisHasFailedTheUK #COVID19 https://t.co/stXYQSDmgM,2,Wrexham
98555,Rebecca Murphy,Swansea,Wales,,2020-10-24,Supporting our community &amp; members #firebreaklockdown #covid19 https://t.co/ieEgpaT7kl,3,Swansea
98579,Chloe ????????????????????,Swansea,Wales,,2020-10-24,This. https://t.co/1nOgsuJ9M1,2,Swansea
98600,BTP Swansea,Swansea,Wales,,2020-10-24,PCSO Kibble and James are currently out and around the network to ensure your safety and checking #Covid19 regulations are adhered to. ????If you need us at all;Text 61016??Call 0800 40 50 40??Or in an emergency call 999! ???? https://t.co/1OB81rb5tk,0,Swansea
98424,Paul Crump,Cardiff,Wales,,2020-10-24,Unbelievable ! https://t.co/9kedqrD37w,3,Cardiff
98425,Kate Brain,Cardiff,Wales,,2020-10-24,Cancer hasn¡¯t gone away. Two very dear friends were diagnosed with cancer this week. I¡¯ll be thinking about them and everyone affected by cancer as I #StayHome https://t.co/g3yWrpkibD,3,Cardiff
98650,Jonny McMenemy,Cardiff,Wales,,2020-10-24,"@forbesey291 @smcmenemy58 @BarrowAFC We'll stick with ?20 Steve, Coronavirus lock down 2 might hit the McMenemys hard.",1,Cardiff
98663,Tomos Morgan,Cardiff,Wales,,2020-10-24,"16 hours awake, 15 hours of broadcasting Standard #firebreak #nonessentialgoods #COVID19",0,Cardiff
98670,Boon ??????????????,Cardiff,Wales,,2020-10-24,GOOD! Thanks for sharing @SteffanCymru - wouldn't have seen it otherwise and has honestly made me feel a lot better knowing he's been charged. https://t.co/Sq4cLgBL9b,3,Cardiff
98659,Daren Roe,Staffordshire,UK,,2020-10-24,I¡¯ve just got my lottery ticket with the numbers Ferguson has predicted as he might be due to get something right ?? https://t.co/UeKKHLqWv8,2,Staffordshire
98370,will-h,Sheffield,UK,,2020-10-24,"Sheffield is now under Tier 3 restrictions; many pubs and restaurants closed their doors tonight, uncertain of when they'll reopen. If ever.This hasn't stopped my @sheffielduni neighbours partying.I don't mind the noise; it's the coronavirus which bothers me. ?? https://t.co/VNdsaaAFXu",1,Sheffield
